Declarante CNPJ;Declarante Nome;Declarante Matriz/Filial;Declarante Fonte;Declarante Âmbito;Declarante LocalizaCAo/RF;Declarante LocalizaCAo/UF;Declarante LocalizaCAo/UA;Ano CalendArio;Tipo da DeclaraCAo;Totais por Contribuinte PF Qtd de Contribuintes;Totais por Contribuinte PF Total de ContribuiCOes (R$);Totais por Contribuinte PF Total DedutIvel das ContribuiCOes (R$);Totais por Contribuinte PJ Qtd de Contribuintes;Totais por Contribuinte PJ Total de ContribuiCOes (R$);Totais por Contribuinte PJ Total DedutIvel das ContribuiCOes (R$)
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2013;Retificadora;7918;22327129,18;22165255,63;3472;1238482632;1174112563
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2011;Retificadora;15965;18555172,55;17991743,18;3276;1306370674;1208028729
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2015;Retificadora;12386;31492447,23;31417392,75;3388;1172356631;1120384733
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2017;Retificadora;11731;35121976,22;35015251,22;3356;1154264383;1131841965
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2018;Retificadora;13887;38254105,39;38221342,1;3740;1257727962;1238210807
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2019;Retificadora;13557;48118556,11;48047594,53; 4.011;1435022703;1424373813
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2020;Retificadora; 12.030;41985008,28;41910122,89;3697;1460283294;1442935835
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2021;Retificadora;10636;39142566,13;39059978,38;3787;2093374566;2082113592
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2022;Retificadora;9915;44686155,2;44602625,35;3930;2023559111;2015907178
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2010;Retificadora;19867;15854013,53;15232766,96;2921;1147128252;1046118405
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2012;Retificadora;16594;22297887,52;22212313,53;3216;1253462729;1171924547
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2016;Retificadora; 12.057;34301914,87;34236282,35;3062;1110571784;1078492724
01.264.142/0001-29;MinistErio da Cultura;M;MinC;Nacional;1ª RF;DF;110100;2014;Retificadora;9652;24789603,6;24644767,1;3506;1309952089;1240272427
01.264.142/0002-00;MinistErio da Cultura;F;MinC;Nacional;1ª RF;DF;110100;2009;Retificadora;15494;11757648,63;11163169,14;2385;965845811,3;882127891,1
04.884.574/0001-20;AGÊNCIA NACIONAL DO CINEMA;M;Ancine;Nacional;1ª RF;DF;110100;2016;Retificadora;43;1096803,23;1096803,23;243;80556319,34;80416319,34
04.884.574/0001-20;Agência Nacional de Cinema;M;Ancine;Nacional;1ª RF;DF;110100;2014;Retificadora;56;487317;487317;344;104033993,7;103734270,3
04.884.574/0001-20;Agência Nacional de Cinema;M;Ancine;Nacional;1ª RF;DF;110100;2015;Retificadora;58;1279859,92;1279859,92;263;90330579,89;90187153,73
04.884.574/0001-20;AGÊNCIA NACIONAL DO CINEMA;M;Ancine;Nacional;1ª RF;DF;110100;2019;Retificadora;48;816590;816590;214;56505027,18;56505027,18
04.884.574/0001-20;AGÊNCIA NACIONAL DO CINEMA;M;Ancine;Nacional;1ª RF;DF;110100;2018;Retificadora;41;1273609,31;1273609,31;273;74354259,46;74270259,46
04.884.574/0001-20;Agencia Nacional do Cinema;M;Ancine;Nacional;1ª RF;DF;110100;2010;Retificadora;93;486104;486104;277;97744455,1;97553152,1
04.884.574/0001-20;AGÊNCIA NACIONAL DO CINEMA;M;Ancine;Nacional;1ª RF;DF;110100;2017;Retificadora;29;610011,53;610011,53;298;85036220,83;84868220,83
04.884.574/0001-20;AGÊNCIA NACIONAL DO CINEMA;M;Ancine;Nacional;1ª RF;DF;110100;2020;Retificadora;11;106630;106630;35;13600940,16;13600940,16
04.884.574/0001-20;ANCINE Agência Nacional de Cinema;M;Ancine;Nacional;1ª RF;DF;110100;2011;Retificadora;252;1279675,85;1279675,85;272;100168419,8;99814642,33
04.884.574/0001-20;ANCINE Agência Nacional de Cinema;M;Ancine;Nacional;1ª RF;DF;110100;2012;Retificadora;249;531261,8;531261,8;231;80065875,07;79551931,57
04.884.574/0001-20;Agência Nacional do Cinema;M;Ancine;Nacional;1ª RF;DF;110100;2013;Retificadora;93;1857331,45;1857331,45;347;100355199;100230961,8
;;;;;;;;;Total Geral:;182662;438509378,5;435745799,2;50544;19811153912;19137578088
