ano_cal;fonte;base_legal;uf_beneficiario;munic_beneficiario;qtde_beneficiarios;vl_total_doacao;vl_total_dedutivel
2002;ANCINE;NAO INFORMADA;BA;SALVADOR - BA;1;100000;100000
2002;ANCINE;NAO INFORMADA;CE;FORTALEZA - CE;1;200000;200000
2002;ANCINE;NAO INFORMADA;CE;QUIXADA - CE;1;960000;960000
2002;ANCINE;NAO INFORMADA;DF;BRASILIA - DF;4;1220223,43;1220223,43
2002;ANCINE;NAO INFORMADA;MG;BELO HORIZONTE - MG;3;2008304;2008304
2002;ANCINE;NAO INFORMADA;PB;JOAO PESSOA - PB;1;150000;150000
2002;ANCINE;NAO INFORMADA;PE;RECIFE - PE;2;481649;481649
2002;ANCINE;NAO INFORMADA;PR;ARAUCARIA - PR;1;500000;500000
2002;ANCINE;NAO INFORMADA;PR;CURITIBA - PR;3;305000;305000
2002;ANCINE;NAO INFORMADA;RJ;RIO DE JANEIRO - RJ;53;41834182,21;41834182,21
2002;ANCINE;NAO INFORMADA;RS;LAJEADO - RS;1;17500;17500
2002;ANCINE;NAO INFORMADA;RS;LAVRAS DO SUL - RS;1;120000;120000
2002;ANCINE;NAO INFORMADA;RS;PORTO ALEGRE - RS;4;988200;988200
2002;ANCINE;NAO INFORMADA;RS;SANTA CRUZ DO SUL - RS;1;632000;632000
2002;ANCINE;NAO INFORMADA;SC;FLORIANOPOLIS - SC;1;190000;190000
2002;ANCINE;NAO INFORMADA;SP;CACHOEIRA PAULISTA - SP;1;20444;20444
2002;ANCINE;NAO INFORMADA;SP;CAMPINAS - SP;1;100000;100000
2002;ANCINE;NAO INFORMADA;SP;COTIA - SP;1;1254529,24;1254529,24
2002;ANCINE;NAO INFORMADA;SP;SANTANA DE PARNAIBA - SP;1;100000;100000
2002;ANCINE;NAO INFORMADA;SP;SAO PAULO - SP;31;13749499,58;13749499,58
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;AM;MANAUS - AM;2;633168,03;633168,03
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;BA;CAMACARI - BA;1;6060;6060
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;BA;FEIRA DE SANTANA - BA;1;40000;40000
