Ano CalendArio;Fonte Declarante;Base Legal;Tipo;Pessoa FIsica Qtd PF;Pessoa FIsica Qtd ContribuiCOes;Pessoa FIsica Total ContribuiCOes (R$);Pessoa FIsica Total DedutIvel (R$);Pessoa JurIdica Qtd PF;Pessoa JurIdica Qtd ContribuiCOes;Pessoa JurIdica Total ContribuiCOes (R$);Pessoa JurIdica Total DedutIvel (R$)
2022;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;6;26;2379966;2379966
2022;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;48;146;24362049,09;24362049,09
2022;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0; 1.002;8714;540133977,7;540133977,7
2022;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;371;1180;57242257,24;57242257,24; 2.036;18904;1999598447;1999598447
2022;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;3;3;390300;156240;14;34;730048,41;408776,65
2022;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;11;16;552146,1;165643,81;36;84;9732067,69;2938438,61
2022;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;997;63564;596847250;596847250
2022;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;520;8525;464220493,9;464220493,9
2021;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;4;23;2548824;2548824
2021;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;38;94;21256662,44;21256662,44
2021;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;824; 8.047;496620240,3;496620240,3
2021;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;31;729;145717369,7;145717369,7
2021;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;87;589;95948412,86;95948412,86
2021;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;350;1133;41487623,37;41487623,37;1917;19458;2074563278;2074563278
2021;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;7;7;94875,46;40550,58;9;16;608919,36;321734,83
2021;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;17;21;2250375,06;675202,48;30;45;13512060,13;4085180,98
2021;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0; 1.031;76070;595053165,4;595053165,4
2021;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;471;8287;477822191,6;477822191,6
2020;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;5;23;1997134;1997134
2020;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;18;27;11707636,16;11707636,16
2020;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;1;2;2800;2800
2020;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;571;7633;304692280,1;304692280,1
2020;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;15;527;73804459,74;73804459,74
2020;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;44;322;40815409,27;40815409,27
2020;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;337; 1.024;37156095,89;37156095,89;1868;20278;1439702992;1439702992
2020;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;11;16;219601,97;113324,17;16;38;1985247,3;908545,62
2020;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;25;33;1761599,9;529079,94;48;104;21442765,47;6435919,73
2020;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;941;72889;411674718,9;411674718,9
2020;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;360;6945;261526101,9;261526101,9
2019;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;21;89;18123371;18123371
2019;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;96;263;39118746,18;39118746,18
2019;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;2;4;79500;79500
2019;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;514;6788;306960819,4;306960819,4
2019;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;19;863;132892772;132892772
2019;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;102;1415;132330305,5;132330305,5
2019;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;355;1131;39190047,73;39190047,73;1880;22210;1428286773;1428286773
2019;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;15;38;306509,48;139686,94;14;39;1103061,37;505864,47
2019;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;28;78;2100620,52;651561,11;60;103;12154247,09;3647474,03
2019;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;966;70906;373941348,4;373941348,4
2019;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;319;5513;274179211,1;274179211,1
2018;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;32;98;19354277;19354277
2018;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;125;325;56133091,77;56133091,77
2018;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;2;3;20500;20500
2018;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;2;3;120000;36000
2018;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;461;5535;253135359,7;253135359,7
2018;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;53;1786;151026924,6;151026924,6
2018;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;91; 1.000;71033624,16;71033624,16
2018;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;345;1190;36776231,27;36776231,27;1874;21512;1230558188;1230558188
2018;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;9;13;244253,1;97947,82;12;16;4371584,09;1776033,63
2018;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;25;45;1601380,08;482814,01;62;112;22430430,64;6740934,14
2018;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;948;77205;316342484,7;316342484,7
2018;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;294; 5.022;192029066;192029066
2017;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;33;97;15380876;15380876
2017;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;158;360;70016656,36;70016656,36
2017;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;1;2;8700;8700
2017;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;2;2;240000;72000
2017;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;373; 5.038;241393311,6;241393311,6
2017;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;46;1245;119033777,3;119033777,3
2017;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;38;157;22324731,56;22324731,56
2017;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;289;781;25635179,82;25635179,82;1699;18794;1130392622;1130392622
2017;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;10;11;721265;289710;17;26;6567705,84;2646528,32
2017;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;23;33;1226104,76;369781,42;58;105;24843481,15;7523394,28
2017;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;872;73247;307589328,7;307589328,7
2017;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;246;3439;189968011,8;189968011,8
2016;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;25;73;10179664;10179664
2016;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;147;337;69922458,57;69922458,57
2016;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;2;3;1351000;1351000
2016;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;1;1;200000;60000
2016;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;357;4164;260075024,9;260075024,9
2016;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;20;677;66419305,87;66419305,87
2016;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;27;410;33580402,37;33580402,37
2016;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;285;875;25057492,15;25057492,15;1748;18487;1072542797;1072542797
2016;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;6;9;106790;42716;28;48;8393306;3433259,4
2016;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;19;41;2082047,04;635629,67;66;119;36691266,63;11017112,39
2016;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;878;76199;275375863,7;275375863,7
